ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
,,,651592.2129,,Clothe collocation,,,,,,12.65548552,4.264599659,,,
,,,10981301.06,,Comedy Blogger,,,,,,14.476875,4.73125,,,
,,,1588613.5,,Health,,,,,,6.691,4.674,,,
,,,2593130.12,,Education,,,,,,11.716,4.7856,,,
,,,2419733.759,,Technology,,,,,,29.71931034,4.485862069,,,
,,,1580902.75,,Travel,,,,,,7.4075,4.77625,,,
,,,3110282.517,,Food,,,,,,10.77983333,4.827333333,,,
,,,1758160.031,,Make up,,,,,,18.88061538,4.428307692,,,
,,,9594446.976,,Celebrity,,,,,,31.9852381,4.645,,,
,,,1787204.628,,Daily life,,,,,,12.19710145,4.735024155,,,
,,,3844589,,Physical education,,,,,,10.27555556,4.748888889,,,
,,,152660.6667,,Literature and Art,,,,,,13.92833333,4.883333333,,,
,,,1407402.734,,Recommendation,,,,,,15.09322581,4.379919355,,,
,,,416930.8876,,Jewelry,,,,,,15.5637751,4.686746988,,,
,,,2610951.526,,Comedy Internet Celebrity,,,,,,15.52298246,4.78754386,,,
